date,Year_Month,open,high,low,close,volume,avg_vol_20d,UNRATE(%),CONSUMER CONF INDEX,PPI-CONST MAT.,CPIALLITEMS,INFLATION(%),MORTGAGE INT. MONTHLY AVG(%),MED HOUSEHOLD INCOME,CORP. BOND YIELD(%),MONTHLY HOME SUPPLY
2011/10/13,10-2011,1206.96,1207.46,1190.58,1203.66,4436270000,4846449500,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/14,10-2011,1205.65,1224.61,1205.65,1224.58,4116690000,4789839500,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/17,10-2011,1224.47,1224.47,1198.55,1200.86,4300700000,4792165000,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/18,10-2011,1200.75,1233.1,1191.48,1225.38,4840170000,4818393000,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/19,10-2011,1223.46,1229.64,1206.3101,1209.88,4846390000,4824285000,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/20,10-2011,1209.92,1219.53,1197.34,1215.39,4870290000,4732642500,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/21,10-2011,1215.39,1239.03,1215.39,1238.25,4980770000,4699684500,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/24,10-2011,1238.72,1256.55,1238.72,1254.1899,4309380000,4677012000,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/25,10-2011,1254.1899,1254.1899,1226.79,1229.05,4473970000,4623304000,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/26,10-2011,1229.17,1246.28,1221.0601,1242,4873530000,4627584500,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/27,10-2011,1243.97,1292.66,1243.97,1284.59,6367610000,4681678000,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
